일시,지점,폭염여부(O/X),최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),폭염특보(O/X),폭염영향예보(단계),열대야(O/X),자외선지수(단계)
2022-09-02,태백(216),X,22.6,21.7,16.2,10.2,85,X, ,X,보통
2022-09-02,정선군(217),X,25.7,26.1,19.6,14.6,72.8,X, ,X,높음
2022-09-02,제천(221),X,26.6,26.2,20.6,14.9,76.1,X, ,X,높음
2022-09-02,보은(226),X,26.5,26.1,21.1,14.9,78.4,X, ,X,높음
2022-09-02,천안(232),X,27.7,28.2,22.5,16,73.3,X, ,X,높음
2022-09-02,보령(235),X,28.9,29.1,24.4,18.7,63.3,X, ,X,높음
2022-09-02,부여(236),X,28.3,28,22.7,17.8,77.3,X, ,X,높음
2022-09-02,금산(238),X,26.3,25.7,20.8,14.9,80,X, ,X,높음
2022-09-02,세종(239),X,28,27.7,22.8,17.8,71.1,X, ,X,높음
2022-09-02,부안(243),X,28.7,28.4,22.8,17.2,78,X, ,X,높음
2022-09-02,임실(244),X,27.4,26.8,21.1,16.6,81.5,X, ,X,높음
2022-09-02,정읍(245),X,27.9,27.4,22.3,17.5,76.6,X, ,X,높음
2022-09-02,남원(247),X,26.3,25.3,22.5,18.6,73.9,X, ,X,높음
2022-09-02,장수(248),X,25.3,24,20,15.2,81.8,X, ,X,높음
2022-09-02,영광군(252),X,28.3,27.8,22.9,17.8,79.6,X, ,X,높음
2022-09-02,김해시(253),X,25.3,22.2,21,19.6,93.4,X, ,X,보통
2022-09-02,순창군(254),X,27.1,26,22.1,17.6,80.9,X, ,X,높음
2022-09-02,양산시(257),X,26.2,23.7,21.8,20.3,93.3,X, ,X,보통
2022-09-02,강진군(259),X,26.8,24.9,22.8,20.3,84.4,X, ,X,보통
2022-09-02,장흥(260),X,26.2,24.6,22.8,20.3,80.1,X, ,X,보통
2022-09-02,해남(261),X,26.7,24.7,22.7,20.3,85.4,X, ,X,보통
2022-09-02,고흥(262),X,24.2,22.2,21.4,20.6,85.6,X, ,X,보통
2022-09-02,의령군(263),X,25.1,22.1,21,19.7,97.1,X, ,X,보통
2022-09-02,함양군(264),X,25.8,23.2,20.6,17.5,97,X, ,X,보통
2022-09-02,진도군ASOS(268),X,27.4,25.9,22.8,20.7,83,X, ,X,보통
2022-09-02,봉화(271),X,24.9,24.6,20,13.3,75,X, ,X,높음
2022-09-02,영주(272),X,26.9,27,20.2,14.4,81,X, ,X,높음
2022-09-02,문경(273),X,27.3,27,21.3,16.9,81.1,X, ,X,높음
2022-09-02,청송군(276),X,24.7,24.1,19.8,16,81.4,X, ,X,보통
2022-09-02,영덕(277),X,25.1,22.8,20.1,17.4,94.9,X, ,X,보통
2022-09-02,의성(278),X,27,26.5,21.3,16.3,82,X, ,X,높음
2022-09-02,구미(279),X,26.2,25.1,21.5,18,78.9,X, ,X,높음
2022-09-02,영천(281),X,24.9,22.4,20.1,17.3,94.4,X, ,X,보통
2022-09-02,경주시(283),X,25.7,23.3,21,19.3,93.8,X, ,X,보통
